course,section,day,slot,instructor
IS213,G1,MON,2,JIANG LINGXIAO
IS213,G2,TUE,2,JIANG LINGXIAO
IS213,G3,TUE,3,JIANG LINGXIAO
IS213,G4,WED,2,JIANG LINGXIAO
IS213,G5,THU,1,XIE XIAOFEI
IS213,G6,THU,3,XIE XIAOFEI
IS213,G7,FRI,1,LUM ENG KIT
IS213,G8,THU,2,CHRISTOPHER MICHAEL POSKITT
IS213,G9,THU,3,CHRISTOPHER MICHAEL POSKITT
IS213,G10,WED,3,ALAN MEGARGEL
IS214,G1,TUE,2,PAUL GRIFFIN
IS214,G2,WED,3,PAUL GRIFFIN
IS214,G3,MON,1,RAFAEL J. BARROS
IS214,G4,MON,3,RAFAEL J. BARROS
IS214,G5,WED,2,TA NGUYEN BINH DUONG
IS214,G6,THU,1,RAMANATHAN KIRUTHIKA
IS214,G7,THU,3,RAMANATHAN KIRUTHIKA
IS214,G8,TUE,1,TA NGUYEN BINH DUONG
IS214,G9,TUE,3,TA NGUYEN BINH DUONG
IS214,G10,THU,1,LUM ENG KIT
IS215,G2,TUE,2,LO SIAW LING
IS215,G3,TUE,3,LO SIAW LING
IS215,G4,WED,1,NICHOLAS TAN CHEE HIANG
IS215,G5,WED,2,LO SIAW LING
IS215,G6,TUE,1,RAMANATHAN KIRUTHIKA
IS215,G7,TUE,3,RAMANATHAN KIRUTHIKA
IS215,G8,MON,2,LAU YI MENG
IS215,G9,MON,3,LAU YI MENG
IS215,G10,TUE,1,LAU YI MENG
IS215,G11,THU,2,GUO ZHILING
IS215,G12,THU,3,GUO ZHILING
IS215,G13,FRI,2,GUO ZHILING
IS442,G1,THU,1,ZHANG ZHIYUAN
IS442,G2,THU,2,ZHANG ZHIYUAN
IS442,G3,WED,3,MYSTERY
